patient_id,member_id,source_a_name,source_b_name,source_a_email,source_b_email,source_a_phone,source_b_phone,source_a_dob,source_b_dob,name_score,address_score,email_match,phone_match,dob_match,match_score,match_status
HOS-A-00008-LEGACY,CRM-B-X00008,Tatiana Santos,Tatiana Santos,tatiana.santos.8@examplehealth.org,tatiana.santos.8@examplehealth.org,27990000008,27990000008,1977-09-09,1977-09-09,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00009,CRM-B-00009,Maria Santos,Maria Santos,maria.santos.9@examplehealth.org,maria.santos.9@examplehealth.org,27990000009,27990000009,1995-10-10,1995-10-10,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00009-LEGACY,CRM-B-00009,Maria Santos,Maria Santos,maria.santos.9@examplehealth.org,maria.santos.9@examplehealth.org,27990000009,27990000009,1995-10-10,1995-10-10,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00010,CRM-B-00010,Camila Oliveira,Camila Oliveira,camila.oliveira.10@examplehealth.org,camila.oliveira.10@examplehealth.org,27990000010,27990000010,1997-11-11,1997-11-11,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00010-LEGACY,CRM-B-00010,Camila Oliveira,Camila Oliveira,camila.oliveira.10@examplehealth.org,camila.oliveira.10@examplehealth.org,27990000010,27990000010,1997-11-11,1997-11-11,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00011,CRM-B-00011,Monica Santos,Monica Santos,monica.santos.11@examplehealth.org,,27990000011,27990000011,1986-12-12,1986-12-12,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00011-LEGACY,CRM-B-00011,Monica Santos,Monica Santos,monica.santos.11@examplehealth.org,,27990000011,27990000011,1986-12-12,1986-12-12,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00012,CRM-B-00012,Vinicius Teixeira,Vinicius Teixeira,vinicius.teixeira.12@examplehealth.org,vinicius.teixeira.12@examplehealth.org,27990000012,27990000012,1987-01-13,1987-01-13,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00012-LEGACY,CRM-B-00012,Vinicius Teixeira,Vinicius Teixeira,vinicius.teixeira.12@examplehealth.org,vinicius.teixeira.12@examplehealth.org,27990000012,27990000012,1987-01-13,1987-01-13,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00013,CRM-B-00013,Aline Martins,Aline Martins,aline.martins.13@examplehealth.org,aline.martins.13@examplehealth.org,27990000013,27990000013,1994-02-14,1994-02-14,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00013-LEGACY,CRM-B-00013,Aline Martins,Aline Martins,aline.martins.13@examplehealth.org,aline.martins.13@examplehealth.org,27990000013,27990000013,1994-02-14,1994-02-14,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00014,CRM-B-00014,Marcos Rocha,Marcos Rocha,marcos.rocha.14@examplehealth.org,marcos.rocha.14@examplehealth.org,27990000014,27990000014,1988-03-15,1988-03-15,1.0,0.963,1.0,1.0,1.0,0.994,auto_match
HOS-A-00014-LEGACY,CRM-B-00014,Marcos Rocha,Marcos Rocha,marcos.rocha.14@examplehealth.org,marcos.rocha.14@examplehealth.org,27990000014,27990000014,1988-03-15,1988-03-15,1.0,0.963,1.0,1.0,1.0,0.994,auto_match
HOS-A-00015,CRM-B-00015,Vanessa Oliveira,Vanessa Oliveira,vanessa.oliveira.15@examplehealth.org,vanessa.oliveira.15@examplehealth.org,27990000015,27990000015,1962-04-16,1962-04-16,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00015-LEGACY,CRM-B-00015,Vanessa Oliveira,Vanessa Oliveira,vanessa.oliveira.15@examplehealth.org,vanessa.oliveira.15@examplehealth.org,27990000015,27990000015,1962-04-16,1962-04-16,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00016,CRM-B-00016,Renata Santos,Renata Santo,renata.santos.16@examplehealth.org,renata.santos.16@examplehealth.org,27990000016,27990000016,2001-05-17,2001-05-17,0.96,1.0,1.0,1.0,1.0,0.988,auto_match
HOS-A-00016-LEGACY,CRM-B-00016,Renata Santos,Renata Santo,renata.santos.16@examplehealth.org,renata.santos.16@examplehealth.org,27990000016,27990000016,2001-05-17,2001-05-17,0.96,1.0,1.0,1.0,1.0,0.988,auto_match
HOS-A-00017,CRM-B-00017,Eduardo Nascimento,Eduardo Nascimento,eduardo.nascimento.17@examplehealth.org,eduardo.nascimento.17@examplehealth.org,27990000017,27990000017,1966-06-18,1966-06-18,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00017-LEGACY,CRM-B-00017,Eduardo Nascimento,Eduardo Nascimento,eduardo.nascimento.17@examplehealth.org,eduardo.nascimento.17@examplehealth.org,27990000017,27990000017,1966-06-18,1966-06-18,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00018,CRM-B-00018,Monica Nascimento,Monica Nasciment,monica.nascimento.18@examplehealth.org,monica.nascimento.18@examplehealth.org,27990000018,27990000018,1976-07-19,1976-07-19,0.97,1.0,1.0,1.0,1.0,0.991,auto_match
HOS-A-00018-LEGACY,CRM-B-00018,Monica Nascimento,Monica Nasciment,monica.nascimento.18@examplehealth.org,monica.nascimento.18@examplehealth.org,27990000018,27990000018,1976-07-19,1976-07-19,0.97,1.0,1.0,1.0,1.0,0.991,auto_match
HOS-A-00019,CRM-B-00019,Vanessa Nascimento,Vanessa Nascimento,vanessa.nascimento.19@examplehealth.org,vanessa.nascimento.19@examplehealth.org,27990000019,27990000019,1986-08-20,1986-08-20,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00019-LEGACY,CRM-B-00019,Vanessa Nascimento,Vanessa Nascimento,vanessa.nascimento.19@examplehealth.org,vanessa.nascimento.19@examplehealth.org,27990000019,27990000019,1986-08-20,1986-08-20,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00020,CRM-B-00020,Ana Teixeira,Ana Teixeira,ana.teixeira.20@examplehealth.org,ana.teixeira.20@examplehealth.org,27990000020,27990000020,1970-09-21,1970-09-21,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00020-LEGACY,CRM-B-00020,Ana Teixeira,Ana Teixeira,ana.teixeira.20@examplehealth.org,ana.teixeira.20@examplehealth.org,27990000020,27990000020,1970-09-21,1970-09-21,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00021,CRM-B-00021,Leticia Barbosa Almeida,Leticia Barbosa Almeida,leticia.barbosa.21@examplehealth.org,leticia.barbosa.21@examplehealth.org,27990000021,27990000021,1986-10-22,1986-10-22,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00022,CRM-B-00022,Larissa Martins,Larissa Martins,larissa.martins.22@examplehealth.org,larissa.martins.22@examplehealth.org,27990000022,27990000022,2012-11-23,2012-11-23,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00023,CRM-B-00023,Vinicius Fernandes,Vinicius Fernandes,vinicius.fernandes.23@examplehealth.org,vinicius.fernandes.23@examplehealth.org,27990000023,27990000023,2003-12-24,2003-12-24,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00024,CRM-B-00024,Vanessa Rodrigues,Vanessa Rodrigues,vanessa.rodrigues.24@examplehealth.org,vanessa.rodrigues.24@examplehealth.org,27990000024,27990000024,1970-01-25,1970-01-25,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00025,CRM-B-00025,Leticia Araujo,Leticia Arauj,leticia.araujo.25@examplehealth.org,leticia.araujo.25@examplehealth.org,27990000025,27990000025,1951-02-26,1951-02-26,0.963,1.0,1.0,1.0,1.0,0.989,auto_match
HOS-A-00026,CRM-B-X00026,Rodrigo Moreira,Rodrigo Moreira,rodrigo.moreira.26@examplehealth.org,rodrigo.moreira.26@examplehealth.org,27990000026,27990000026,1970-03-27,1970-03-27,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00027,CRM-B-00027,Tatiana Costa,Tatiana Costa,tatiana.costa.27@examplehealth.org,,27990000027,27990000027,1971-04-01,1971-04-01,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00028,CRM-B-00028,Thiago Gomes,Thiago Gomes,thiago.gomes.28@examplehealth.org,thiago.gomes.28@examplehealth.org,27990000028,27990000028,1965-05-02,1965-05-02,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00029,CRM-B-00029,Ana Costa,Ana Costa,ana.costa.29@examplehealth.org,ana.costa.29@examplehealth.org,27990000029,27990000029,1984-06-03,1984-06-03,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00030,CRM-B-00030,Bianca Santos Rocha,Bianca Santos Rocha,bianca.santos.30@examplehealth.org,bianca.santos.30@examplehealth.org,27990000030,27990000030,1970-07-04,1970-07-04,1.0,0.966,1.0,1.0,1.0,0.995,auto_match
HOS-A-00031,CRM-B-00031,Lucas Araujo,Lucas Araujo,lucas.araujo.31@examplehealth.org,lucas.araujo.31@examplehealth.org,27990000031,27990000031,2004-08-05,2004-08-05,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00032,CRM-B-00032,Bruno Silva Araujo,Bruno Silva Arauj,bruno.silva.32@examplehealth.org,bruno.silva.32@examplehealth.org,27990000032,27990000032,1955-09-06,1955-09-06,0.971,1.0,1.0,1.0,1.0,0.991,auto_match
HOS-A-00033,CRM-B-00033,Fernanda Moreira,Fernanda Moreira,fernanda.moreira.33@examplehealth.org,fernanda.moreira.33@examplehealth.org,27990000033,27990000033,1978-10-07,1978-10-07,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00034,CRM-B-00034,Larissa Dias,Larissa Dias,larissa.dias.34@examplehealth.org,larissa.dias.34@examplehealth.org,27990000034,27990000034,1937-11-08,1937-11-08,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00035,CRM-B-00035,Fernando Lima,Fernando Lim,fernando.lima.35@examplehealth.org,fernando.lima.35@examplehealth.org,27990000035,27990000035,1998-12-09,1998-12-09,0.96,1.0,1.0,1.0,1.0,0.988,auto_match
HOS-A-00036,CRM-B-00036,Vanessa Carvalho,Vanessa Carvalho,vanessa.carvalho.36@examplehealth.org,vanessa.carvalho.36@examplehealth.org,27990000036,27990000036,1953-01-10,1953-01-10,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00037,CRM-B-00037,Ana Teixeira,Ana Teixeira,ana.teixeira.37@examplehealth.org,ana.teixeira.37@examplehealth.org,27990000037,27990000037,1952-02-11,1952-02-11,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00038,CRM-B-00038,Vinicius Moreira,Vinicius Moreir,vinicius.moreira.38@examplehealth.org,vinicius.moreira.38@examplehealth.org,27990000038,27990000038,1931-03-12,1931-03-12,0.968,1.0,1.0,1.0,1.0,0.99,auto_match
HOS-A-00039,CRM-B-00039,Bianca Santos,Bianca Santos,bianca.santos.39@examplehealth.org,bianca.santos.39@examplehealth.org,27990000039,27990000039,1957-04-13,1957-04-13,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00040,CRM-B-00040,Vanessa Rodrigues,Vanessa Rodrigues,vanessa.rodrigues.40@examplehealth.org,vanessa.rodrigues.40@examplehealth.org,27990000040,27990000040,1961-05-14,1961-05-14,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00041,CRM-B-00041,Larissa Rocha,Larissa Rocha,larissa.rocha.41@examplehealth.org,,27990000041,27990000041,1945-06-15,1945-06-15,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00042,CRM-B-00042,Leticia Moreira,Leticia Moreir,leticia.moreira.42@examplehealth.org,,27990000042,27990000042,1966-07-16,1966-07-16,0.966,1.0,0.0,1.0,1.0,0.79,review
HOS-A-00043,CRM-B-00043,Renata Almeida,Renata Almeida,renata.almeida.43@examplehealth.org,renata.almeida.43@examplehealth.org,27990000043,27990000043,1967-08-17,1967-08-17,1.0,0.97,1.0,1.0,1.0,0.995,auto_match
HOS-A-00044,CRM-B-00044,Tatiana Araujo Rocha,Tatiana Araujo Rocha,tatiana.araujo.44@examplehealth.org,tatiana.araujo.44@examplehealth.org,27990000044,27990000044,1938-09-18,1938-09-18,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00045,CRM-B-00045,Priscila Pereira,Priscila Pereira,priscila.pereira.45@examplehealth.org,,27990000045,27990000045,1985-10-19,1985-10-19,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00046,CRM-B-00046,Rafael Costa,Rafael Costa,rafael.costa.46@examplehealth.org,rafael.costa.46@examplehealth.org,27990000046,27990000046,1958-11-20,1958-11-20,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00047,CRM-B-00047,Luciana Gomes,Luciana Gome,luciana.gomes.47@examplehealth.org,,27990000047,27990000047,1977-12-21,1977-12-21,0.96,0.966,0.0,1.0,1.0,0.783,review
HOS-A-00048,CRM-B-00048,Vanessa Costa,Vanessa Costa,vanessa.costa.48@examplehealth.org,vanessa.costa.48@examplehealth.org,27990000048,27990000048,1958-01-22,1958-01-22,1.0,0.971,1.0,1.0,1.0,0.996,auto_match
HOS-A-00049,CRM-B-00049,Priscila Martins,Priscila Martins,priscila.martins.49@examplehealth.org,priscila.martins.49@examplehealth.org,27990000049,27990000049,1989-02-23,1989-02-23,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00050,CRM-B-00050,Aline Carvalho,Aline Carvalho,aline.carvalho.50@examplehealth.org,aline.carvalho.50@examplehealth.org,27990000050,27990000050,1997-03-24,1997-03-24,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00051,CRM-B-00051,Aline Lima,Aline Lima,aline.lima.51@examplehealth.org,aline.lima.51@examplehealth.org,27990000051,27990000051,1993-04-25,1993-04-25,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00052,CRM-B-00052,Bianca Martins,Bianca Martins,bianca.martins.52@examplehealth.org,bianca.martins.52@examplehealth.org,27990000052,27990000052,1993-05-26,1993-05-26,1.0,0.971,1.0,1.0,1.0,0.996,auto_match
HOS-A-00053,CRM-B-00053,Thiago Barbosa,Thiago Barbosa,thiago.barbosa.53@examplehealth.org,thiago.barbosa.53@examplehealth.org,27990000053,27990000053,2010-06-27,2010-06-27,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00054,CRM-B-00054,Aline Barbosa,Aline Barbos,aline.barbosa.54@examplehealth.org,,27990000054,27990000054,2010-07-01,2010-07-01,0.96,1.0,0.0,1.0,1.0,0.788,review
HOS-A-00055,CRM-B-00055,Felipe Souza,Felipe Souza,felipe.souza.55@examplehealth.org,felipe.souza.55@examplehealth.org,27990000055,27990000055,2014-08-02,2014-08-02,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00056,CRM-B-00056,Fernando Rocha,Fernando Rocha,fernando.rocha.56@examplehealth.org,fernando.rocha.56@examplehealth.org,27990000056,27990000056,2004-09-03,2004-09-03,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00057,CRM-B-00057,Thiago Gomes,Thiago Gomes,thiago.gomes.57@examplehealth.org,thiago.gomes.57@examplehealth.org,27990000057,27990000057,2005-10-04,2005-10-04,1.0,0.966,1.0,1.0,1.0,0.995,auto_match
HOS-A-00058,CRM-B-00058,Rafael Pereira Martins,Rafael Pereira Martins,rafael.pereira.58@examplehealth.org,rafael.pereira.58@examplehealth.org,27990000058,27990000058,2009-11-05,2009-11-05,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00059,CRM-B-00059,Patricia Carvalho,Patricia Carvalho,patricia.carvalho.59@examplehealth.org,patricia.carvalho.59@examplehealth.org,27990000059,27990000059,2016-12-06,2016-12-06,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00060,CRM-B-00060,Rafael Araujo,Rafael Araujo,rafael.araujo.60@examplehealth.org,rafael.araujo.60@examplehealth.org,27990000060,27990000060,2008-01-07,2008-01-07,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00061,CRM-B-00061,Renata Oliveira,Renata Oliveira,renata.oliveira.61@examplehealth.org,renata.oliveira.61@examplehealth.org,27990000061,27990000061,2014-02-08,2014-02-08,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00062,CRM-B-00062,Bianca Barbosa,Bianca Barbosa,bianca.barbosa.62@examplehealth.org,,27990000062,27990000062,2013-03-09,2013-03-09,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00063,CRM-B-00063,Felipe Silva Lima,Felipe Silva Lima,felipe.silva.63@examplehealth.org,felipe.silva.63@examplehealth.org,27990000063,27990000063,2016-04-10,2016-04-10,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00064,CRM-B-00064,Andre Rodrigues,Andre Rodrigues,andre.rodrigues.64@examplehealth.org,andre.rodrigues.64@examplehealth.org,27990000064,27990000064,2016-05-11,2016-05-11,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00065,CRM-B-00065,Felipe Lima,Felipe Lima,felipe.lima.65@examplehealth.org,felipe.lima.65@examplehealth.org,27990000065,27990000065,2016-06-12,2016-06-12,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00066,CRM-B-00066,Carlos Dias,Carlos Dias,carlos.dias.66@examplehealth.org,carlos.dias.66@examplehealth.org,27990000066,27990000066,2015-07-13,2015-07-13,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00067,CRM-B-00067,Leticia Costa,Leticia Costa,leticia.costa.67@examplehealth.org,,27990000067,27990000067,2016-08-14,2016-08-14,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00068,CRM-B-00068,Daniela Rodrigues,Daniela Rodrigues,daniela.rodrigues.68@examplehealth.org,daniela.rodrigues.68@examplehealth.org,27990000068,27990000068,1947-09-15,1947-09-15,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00069,CRM-B-00069,Beatriz Barbosa,Beatriz Barbosa,beatriz.barbosa.69@examplehealth.org,beatriz.barbosa.69@examplehealth.org,27990000069,27990000069,1958-10-16,1958-10-16,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00070,CRM-B-00070,Thiago Dias,Thiago Dias,thiago.dias.70@examplehealth.org,thiago.dias.70@examplehealth.org,27990000070,27990000070,1954-11-17,1954-11-17,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00071,CRM-B-00071,Carla Almeida,Carla Almeida,carla.almeida.71@examplehealth.org,carla.almeida.71@examplehealth.org,27990000071,27990000071,1986-12-18,1986-12-18,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00072,CRM-B-00072,Daniela Souza,Daniela Souz,daniela.souza.72@examplehealth.org,daniela.souza.72@examplehealth.org,27990000072,27990000072,1955-01-19,1955-01-19,0.96,1.0,1.0,1.0,1.0,0.988,auto_match
HOS-A-00073,CRM-B-X00073,Carla Teixeira Moreira,Carla Teixeira Moreira,carla.teixeira.73@examplehealth.org,carla.teixeira.73@examplehealth.org,27990000073,27990000073,1948-02-20,1948-02-20,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00074,CRM-B-00074,Gabriela Almeida Gomes,Gabriela Almeida Gomes,gabriela.almeida.74@examplehealth.org,,27990000074,27990000074,1952-03-21,1952-03-21,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00075,CRM-B-00075,Luciana Santos,Luciana Santos,luciana.santos.75@examplehealth.org,luciana.santos.75@examplehealth.org,27990000075,27990000075,1956-04-22,1956-04-22,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00076,CRM-B-00076,Ricardo Almeida,Ricardo Almeida,ricardo.almeida.76@examplehealth.org,ricardo.almeida.76@examplehealth.org,27990000076,27990000076,1988-05-23,1988-05-23,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00077,CRM-B-00077,Ana Barbosa,Ana Barbosa,ana.barbosa.77@examplehealth.org,ana.barbosa.77@examplehealth.org,27990000077,27990000077,1989-06-24,1989-06-24,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00078,CRM-B-00078,Bruno Oliveira,Bruno Oliveira,bruno.oliveira.78@examplehealth.org,bruno.oliveira.78@examplehealth.org,27990000078,27990000078,1995-07-25,1995-07-25,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00079,CRM-B-00079,Rodrigo Fernandes Carvalho,Rodrigo Fernandes Carvalho,rodrigo.fernandes.79@examplehealth.org,rodrigo.fernandes.79@examplehealth.org,27990000079,27990000079,1949-08-26,1949-08-26,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00080,CRM-B-00080,Felipe Fernandes,Felipe Fernandes,felipe.fernandes.80@examplehealth.org,felipe.fernandes.80@examplehealth.org,27990000080,27990000080,1948-09-27,1948-09-27,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00081,CRM-B-00081,Bianca Carvalho,Bianca Carvalho,bianca.carvalho.81@examplehealth.org,,27990000081,27990000081,1967-10-01,1967-10-01,1.0,1.0,0.0,1.0,1.0,0.8,review
HOS-A-00082,CRM-B-00082,Bruno Araujo,Bruno Araujo,bruno.araujo.82@examplehealth.org,bruno.araujo.82@examplehealth.org,27990000082,27990000082,1945-11-02,1945-11-02,1.0,0.971,1.0,1.0,1.0,0.996,auto_match
HOS-A-00083,CRM-B-X00083,Fernando Barbosa Souza,Fernando Barbosa Souza,fernando.barbosa.83@examplehealth.org,fernando.barbosa.83@examplehealth.org,27990000083,27990000083,1980-12-03,1980-12-03,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00084,CRM-B-00084,Monica Lima,Monica Lima,monica.lima.84@examplehealth.org,monica.lima.84@examplehealth.org,27990000084,27990000084,1987-01-04,1987-01-04,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00085,CRM-B-00085,Carla Araujo Pereira,Carla Araujo Pereira,carla.araujo.85@examplehealth.org,carla.araujo.85@examplehealth.org,27990000085,27990000085,1947-02-05,1947-02-05,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00086,CRM-B-00086,Thiago Nascimento Teixeira,Thiago Nascimento Teixeira,thiago.nascimento.86@examplehealth.org,thiago.nascimento.86@examplehealth.org,27990000086,27990000086,2006-03-06,2006-03-06,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00087,CRM-B-00087,Carlos Teixeira,Carlos Teixeira,carlos.teixeira.87@examplehealth.org,carlos.teixeira.87@examplehealth.org,27990000087,27990000087,2014-04-07,2014-04-07,1.0,0.976,1.0,1.0,1.0,0.996,auto_match
HOS-A-00088,CRM-B-00088,Eduardo Lima Rocha,Eduardo Lima Roca,eduardo.lima.88@examplehealth.org,eduardo.lima.88@examplehealth.org,27990000088,27990000088,2015-05-08,2015-05-08,0.971,1.0,1.0,1.0,1.0,0.991,auto_match
HOS-A-00089,CRM-B-00089,Ricardo Gomes,Ricardo Gomes,ricardo.gomes.89@examplehealth.org,ricardo.gomes.89@examplehealth.org,27990000089,27990000089,2016-06-09,2016-06-09,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
HOS-A-00090,CRM-B-00090,Eduardo Costa,Eduardo Costa,eduardo.costa.90@examplehealth.org,eduardo.costa.90@examplehealth.org,27990000090,27990000090,2005-07-10,2005-07-10,1.0,1.0,1.0,1.0,1.0,1.0,auto_match
